rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.02.23,미니팜,합리적인 가격의 55인치 qled 티비!,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
이사했는데 그동안 사용하던 30인치 모니터 너무 작아서 침대에서 보려고 했는데 잘 안보이더라구요. 좀 더 큰 모니터 찾다가 샤오미 4K UHD QLED TV 140cm(55인치) 스마트 TV 스탠드형 선택하게 되었어요.
요즘 QLED 하면 가격대가 높은데 55인치 대비 합리적이라서 좋더라구요.
로켓설치라 주문한 다음날 바로 설치 가능하고 또는 희망 배송일 예약 가능해요. 사다리차/폐가전 수거 무상 지원되고 전문기사가 직접 배송 및 설치해 주고 가세요.
V QLED디스플레이로 정확한 색상을 구현하고 밝음
V 돌비 오디오로 몰입감 넘치는 사운드
V 초슬림 베젤 디자인에 프리미엄 메탈 마감으로 고급짐
V MEMC 기술로 고속 움직임 이미지를 더욱 부드럽게 만들어 스포츠 경기 등 액션 영화 게임을 할때 더욱 생생
프로그램 N시간째 틀어두고 있는데 아직까지 끊김이나 화질 이슈 없이 잘 보고 있어요.
헤이 구글 연결되어있어서 음성으로 검색도 가능하고 뉴스, 영화, 엔터테인먼트, 리얼리티 쇼 등 다양한 라이브 채널 시청도 구독 없이 무료로 즐길 수 있어요.
예전에 스마트티비 확장(?)하면서 샤오미 리모컨 구매한 적이 있는데 거의 비슷한데 조금 업그레이드 됐더라구요. 360도 블루투스 리모컨으로 넷플릿스, 유튜브, 프라임 비디오, 앱 등 스마트 TV를 손쉽게 컨트롤 할 수 있어요.
또, 휴대폰에서도 스트리밍이 가능해서 넘 편리할 것 같더라구요.
티비는 거거익선이라고 아무래도 티비 많이 보시는 분들에겐 좀 더 생생하고 특히 영화 볼때 더욱 즐거운 감상이 가능한 것 같아서 50인치대 가성비 티비 찾는분들에게 완전 강추드립니다.
거치대는 별도 구매했는데 고정 딱 잘 되어있고 이리저리 각도 조절도 부드럽고 설치도 어렵지 않았어요. 다이에 올려서 스탠드식으로 사용도 가능하지만 이동 가능한 거치대로 가능하니 참고해주세요~",32.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/292a2117-796e-485e-8c6c-28416aa302e9.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/248c32af-76d1-4b97-b985-0d538f0af1ab.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/148ea0a9-3ee5-4c43-9fb9-5551b070162e.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/cc74cf00-cd84-4648-978a-b70fe87b002e.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/1987cea6-4362-48f6-b954-43aa5e8cc848.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/4447d103-824a-4b61-a330-22624fc2e669.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/c774234f-1469-4c91-bcc9-598230454985.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/ea4f3cc5-d893-40d6-9d09-6b70785680bc.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/9a639d77-27b6-427b-82f5-c7c6e5033c60.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/23/1361743911568558945/fd195b7c-7a26-4f1c-ba21-7f6072f42989.jpg"
2,5,2025.02.17,이*화,가성비 최고에요~♡,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
안녕하세요!
쿠팡을 애용하는 주부입니다.
오늘은 가성비 좋은 샤오미(xiaomi) TV 리뷰를 남겨보려고 합니다.^^
■제품명:
샤우미 4k LED QLED TV 140cm(55인치) 스마트 TV
모델명/품번 L55MA-STWN
■주문동기:
안방 티비를 교체 할 시기가 되었는데 마침 쿠팡체험단에 초대되어 감사하게도 티비를 주문하게 됐습니다.
거실에 사용중인 TV는 3년전 쿠팡에서 저렴하게 주문한 중국산 티비인데 화질도 좋고 기능도 다양하고 고장 한번 없이 너무 잘 보고 있어서 이번에도 망설임없이 바로 주문했습니다.
요즘은 청소기며  티비며 에어컨이며 중국산 브랜드들이 많이 수입 판매 되고 있는데 가격적으로도 성능적으로도 정말 무시할수 없는것 같습니다.
최신 기능 다 있고 품질도 괜찮고 가격은 저렴하고 정말 기대 이상 입니다.
■로켓설치:
경기도민인데 주문 다음날부터 배송설치 가능했습니다.
원하시는 날로 선택해서 주문하시면 됩니다.
기사님께서 설치당일 아침에 전화로 방문가능 시간 안내해주십니다.
설치시간은 10분도 안걸렸고 기사님께서 박스까지 깔끔하게 정리해서 수거해주십니다.^^
HDMI 케이블 티비에 꽂고  구글메일로 로그인~
그리고 설정에 들어가서 입력소스에 연결한 HDMI 눌러주시면 바로 티비채널이 나옵니다.^^
■제품후기:
가격이 가격인만큼 백만원이상 고가 티비 화질만큼은 아니지만
3840×2160해상도의 4k UHD 디스플레이로 색감도 풍부하고 화질이  선명하고 충분히 훌륭합니다.
10W 스피커가 2개 장착되어 사운드도 짱짱합니다.
앱 실행 속도도 느리거나 끊김없이 스무스 합니다.^^
스마트 구글 TV로 크롬캐스트 되고 유튜브나 각종 OTT 등 모든 컨텐츠를 시청할수 있고
저렴한 가격에 화면도 크고 훌륭한 성능을 갖춘 최고 가성비 좋은 제품인것 같습니다.^^
안방에 55인치를 두니 안방이 극장 같고 아주 만족스럽습니다.^^
채널 돌릴때도 다음 채널로 바로바로 잘 넘어갑니다.
스탠드형 주문하실분들은 TV다이 사이즈 최소 가로 1200mm부터 세워두실수있습니다.
리뷰사진은 1200mm 탁자 입니다.
단점이라면 외국산 티비라서 전원 켜고 끌땐 통신사 리모컨은 사용할수 없고 티비본체 리모컨을 사용해야하는 점입니다.
이상 리뷰를 마치겠습니다.^^
쿠팡체험단으로 무료로 받은 제품이지만 최대한 솔직하게 작성해봤습니다.
여러분의 쇼핑에 도움이 되길 바랍니다.^^",24.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/17/6551460837771188556/a7282875-44b9-4c8f-935d-aa544d800901.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/17/6551460837771188556/0bff30b7-97e0-4287-90df-27d249ab0c83.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/17/6551460837771188556/bb575e1b-fa7f-4f97-8651-7d781df8d651.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/17/6551460837771188556/436ce4ea-6128-481b-9f68-8a7b0ae91a62.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/17/6551460837771188556/e2c91f3f-dfea-487c-b51a-8b558275db87.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/17/6551460837771188556/8f242692-8bc2-4f35-b476-fc9fe644a13f.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/17/6551460837771188556/4ad37286-ff52-41b5-b49b-92672ea3a5fc.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/18/6551460837771188556/f366fbf3-7f87-4a33-a492-2de7f185fc83.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/22/6551460837771188556/f69cc4fd-f41b-4f08-a6e5-f364f06f1205.jpg"
3,5,2025.02.19,핫도그도그,슬림하고 선명한 화질로 시청 가능한 TV,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
샤오미가 역시 가성비 끝내주는 브랜드 같아요. 55인치라 화면이 커서 웅장한 느낌을 주고 초슬림 베젤이라 고급스러우면서도 깔끔해요. 로켓 설치라서 친절한 기사님이 빠르게 설치해주고 가시니까 편리하네요!
선명한 화질과 큰 화면이 몰입감을 높여주더라고요! 거실에 두니까 영상을 볼 때 생생하고 영화관 같은 느낌으로 즐길 수 있어요. 바닥에 두고 사용하거나 장식장 위에 설치해도 인테리어와 잘 어우러지는 디자인이에요. 스탠드는 견고하고 바닥면에는 미끄럼 방지 처리가 들어가 있는데 심플하면서도 안정감을 줘서 TV를 잘 받춰줘요.
사운드는 10W 스피커 두 개로 입체감 있는 자체 사운드가 뛰어났어요. 외부 스피커를 따로 장착하지 않아도 훌률한 음질이라 그대로 사용하고 있는데 만족스러워요. 소리가 선명하고 깔끔해서 좋았습니다!
무엇보다 좋았던 부분은 화질이었는데요. 4K UHD 고해상도라서 영상을 시청 할 때 더 실감 나요. 화면이 밝고 생생해서 넷플릭스 및 ott 시청할 때 훨씬 몰입이 잘 되니까 집중이 되더라고요. 가격대비 훌륭하다는게 느껴져요.
스마트 티비 답게 Android TV OS 및 OTT 앱을 설치해서 사용할 수 있어서 좋아요! 게다가 구글 어시스턴트 음성명령 기능도 있어서 사용하기 너무 편했어요!! 만족스럽습니다 :)",18.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/6896cffb-2e0a-42e5-98a6-ddd9bb873c02.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/585e2207-958d-41d1-bab0-06053c92ae46.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/7f7de9cb-d3dd-42a3-9c98-3eb1ee068e28.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/5356ae48-b1a6-42fa-a2f4-1b73516ac612.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/19124b80-f05b-43ed-81b9-27e7845955f3.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/23378f12-bcdf-4032-8594-5c97ef821e49.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/f057f2fc-fc6a-44d5-a2f4-ddd95f6b8fc4.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/ad16ce53-226f-4ee1-8479-743a2ca9d363.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/cbc9e9e0-041c-4a98-be55-53cd96465e0a.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/19/4149117291118028144/51b4bb2d-57d1-4eb7-b6dc-25f3ef6fd923.jpg"
4,5,2025.02.13,배*현,가성비 최강 샤오미 TV,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
주문일: 2월 11일
배송일: 2월 12일
제품명: 샤오미 4K UHD QLED 스마트 디스플레이 A Pro TV, 189cm(75인치), L75MA-STWN, 스탠드형, 방문설치
기존에 사용하던 TV가 49인치였는데 작기도 하고 오래 사용하여 이번에 새로 TV를 구매하였습니다.
49인치를 사용하다가 75인치로 바꿔서인지 엄청 크네요.
거실장이 작지 않은데 거의 꽉찹니다.
✅ 특징
1. 로켓설치: 배송일 당일 아침에 연락오셔서 약속잡고 바로 설치 해주셨어요.
2. 4K QLED 초고해상도 화질로 디테일이 살아있는 이미지(3840 X 2160 해상도)
3. 초슬림 베젤 디자인과 프리미엄 메탈 마감
4. 스트리밍 콘텐츠를 한 화면에서
5. Dolby Audio, DTS:X, DTS Virtual:X로 경험하는 몰입감 넘치는 사운드
6. 콴텀 닷 디스플레이의 탁월한 색상 성능
7. Google TV로 여러 컨텐츠 시청 가능
8. Hey Google 음성으로 손쉽게 활용
9. Xiaomi TV+: 뉴스, 영화, 엔터테인머트 등 구독이 필요없고 언제든지 시청 가능
10. 360도 블루투스 리모컨으로 손쉽게 제어
11. 휴대폰에서 스트리밍
12. 가벼운 무게: 75인치의 큰화면인데도 20kg정도로 가벼워요.
제 리뷰가 도움이 되었다면 ""도움이돼요"" 버튼을 꼭 눌러주세요!!",19.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/13/4640608212534779914/2e09ed55-bc49-48c8-946c-b253ef8dcae9.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/13/4640608212534779914/9d304cfc-8a49-46f7-ad6d-4b36f7ab9023.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/13/4640608212534779914/d1f02bf7-9cd0-4eff-9c14-34ad9e058c42.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/13/4640608212534779914/3804d807-987e-4159-82c1-8f2d490f38c5.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/13/4640608212534779914/a61e35c0-eb59-434c-98ac-7609fdeed84a.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/13/4640608212534779914/a0cf1b9e-45cd-4a25-9803-8f934f432606.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/13/4640608212534779914/defa91d6-c870-4497-a033-1b27ed02660d.jpg"
5,5,2025.02.12,태찬맘,가격대비 좋습니다^-^,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
집에 있던 티비가 10년정도 사용했는데
작기도 작고 신랑이 늘 티비 바꾸고 싶어하더라구요
그러다가 좋은 기회로 티비를 바꾸게 되었어요!
티비가 무슨 로켓배송이 되다보니 진짜
하루만에 왔어요! 쿠팡이 빠르긴 진짜 빠른듯ㅋㅋ
75인치 티비이다보니 기사님 두분이서 들고 오셨구요
아주 친절하게 금방 설치해주시고 가셨어요~
진짜 설치는 뭐10-15분정도? 간단히 끝났어요
진짜 실제로보니 75인치 티비 크긴 엄청 크네요
저희집 26평인데 집 평수에 비해서 좀 큰편이긴 합니다
그래도 작은 티비보다가 큰거로 보니
영화보는거 마냥 너무 좋네요ㅎㅎ
다만 스탠드형이라 저희집 거실장은 작아서
교체하려고 바닥에 뒀는데 스탠드 다리 부분
사이즈가 거실장에 맞는게 잘없더라구요ㅠ
살짝 쿵 길어요~(거실장 폭부분)
맞는걸 잘 찾아봐야겠어요!
그리고 화질은 선명하면서 깨끗하고 음질도 좋네요
티비자체는 단점없이 다 좋아서 만족합니다
가족들도 티비 바꿔서 너무 좋아하구요^-^
앞으로도 10년넘게 잘 써볼까합니다요
+추가후기
티비를 보다보니 더 맘에들어요ㅎㅎ
가성비 좋은거 같아요!
거실장은 찾아보다 사이즈 맞는거 결국 못찾아서
벤치수납장 2개를 눕혀서 사용하고있답니다^^
제 리뷰가 조금이나마 도움되셨다면
